name,Nationality,Current status,Gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,Hair,Height,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color
Namine Tasil,Domani,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TGS 31,TGS 31,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tauan,Seanchan,Dead,Female,NA,NA,NA,NA,NA,NA,1000 NE,TPOD 6,NA,NA,NA,NA,NA,NA,Morat'raken,NA,NA,NA,NA,NA,NA,NA
Tava,Aiel,Foreseen,Female,NA,NA,NA,NA,NA,NA,NA,TOM 48,NA,NA,NA,NA,NA,Tall,NA,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Pevara Tazanovni,Kandori,Alive,Female,Plump,ACOS 32,AMOL 42,White Tower,NA,Aes Sedai,NA,NA,NA,839 NE,"Dark, merry",Red Ajah,"Short, black","5'4"" or 163 cm",NA,NA,NA,NA,NA,NA,NA,NA
Tehan,Seanchan,Alive,Female,Wide,WH 14,WH 14,NA,NA,NA,NA,NA,NA,NA,Incredibly green,NA,White,NA,Ship captain,NA,NA,NA,NA,NA,NA,NA
Telaisien,Andoran,Dead,Female,NA,NA,NA,NA,Queen,Queen of Andor,NA,LOC 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cariandre Temalien,Ghealdanin,Alive,Female,Plump,KOD 2,TGS 25,White Tower,NA,Aes Sedai,NA,NA,NA,932 NE,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alise Tenjile,Taraboner,Alive,Female,NA,TPOD 4,TOM 52,The Kin,NA,NA,NA,ACOS 23,NA,NA,NA,NA,"Dark, flecks of gray",Average,NA,NA,NA,NA,NA,NA,NA,NA
Teodora,Saldaean,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TFOH 29,TFOH 29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berisha Terakuni,Arafellin,Dead,Female,Lean,ACOS Prologue,AMOL 33,White Tower,NA,Aes Sedai,1000 NE,NA,NA,NA,Hard,Gray Ajah,NA,Short,NA,NA,NA,NA,NA,NA,NA,NA
Teramina,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TGS Epilogue,TGS Epilogue,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teran,Amadician,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TFOH 10,TFOH 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teresia,Ghealdanin,Alive,Female,NA,NA,NA,NA,"Former Blessed of the Light, Defender of Garen's Wall, Queen of Ghealdan",Former Queen,NA,NA,TFOH 39,NA,NA,NA,NA,NA,Lady,NA,NA,NA,NA,NA,NA,NA
Kyera Termendal,Shiotan,Dead,Female,NA,NA,NA,NA,NA,NA,NA,ACOS Prologue,ACOS Prologue,NA,NA,NA,NA,NA,Poet,NA,NA,NA,NA,NA,NA,NA
Termylle,Andoran,Dead,Female,NA,NA,NA,NA,Queen of Andor,Queen,NA,RPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teryane,Saldaean,Alive,Female,NA,NA,NA,NA,NA,NA,NA,LOC 45,LOC 45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tesan,Taraboner,Alive,Female,NA,KOD Prologue,TGS 46,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,White Ajah,"Dark, beaded braids",NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetsuan,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,Amyrlin Seat,Aes Sedai,circa 1200 AB,TGH 5,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morvrin Thakanos,Illianer,Alive,Female,Stout and plump,TFOH 27,TOM 37,White Tower,NA,Aes Sedai,NA,NA,NA,777 NE,NA,Brown Ajah,Graying,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mistress Thane,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,WH 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kari Thane,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TEOTW 13,TEOTW 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nela Thane,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,NA,TFOH 55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duranda Tharne,Murandian,Alive,Female,NA,TFOH 11,TFOH 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dyed red,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Therava,Aiel,Alive,Female,NA,LOC Prologue,KOD 30,NA,NA,NA,NA,NA,NA,NA,Blue,NA,Gray,Tall,Wise One,Shaido,Unknown sept,NA,Slim,NA,NA,NA
Ilyena Therin Moerelle,NA,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TEOTW Prologue,TGS 50,NA,Blue,NA,Golden,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marris Thornhill,Andoran,Unknown,Female,Plump,COT Prologue,COT Prologue,Black Ajah,NA,Aes Sedai,NA,TDR 13,KOD Prologue,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thurasa,Domani,Unknown,Female,NA,TGS Prologue,TGS Prologue,Council of Merchants,NA,NA,Presumably 1000 NE,NA,NA,NA,NA,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA
Tialin,Aiel,Alive,Female,Lanky,LOC 25,TPOD Prologue,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,Red,NA,Wise One,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Tiedra,Cairhienin,Alive,Female,Plump,TGH 31,TGH 33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Merean Tihomar,Shienaran,Dead,Female,NA,NA,NA,Shienar,Queen of Shienar,Queen,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timna,Amayarin,Dead,Female,NA,WH 35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tinna,Unknown nationality,Alive,Female,Statuesque,AMOL 37,AMOL 40,Dragonsworn,NA,NA,NA,NA,NA,NA,NA,NA,Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tion,Aiel,Alive,Female,Wide,ACOS Prologue,TPOD 11,Sevanna,NA,NA,NA,NA,NA,NA,NA,NA,Gray,Tall,Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA
Yseidre Tirado,Tairen,Dead,Female,NA,NA,NA,NA,High Lady of Tear,NA,NA,RPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tellindal Tirraso,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TOM 51,TOM 51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elisane Tishar,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,Amyrlin Seat,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,No Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isebaille Tobanyi,Domani,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,ACOS 6,ACOS 6,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anarina Todande,Altaran,Dead,Female,NA,NA,NA,NA,Queen of Altara,Queen,c. 102 NE,LOC 48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shalon din Togara Morning Tide,Atha'an Miere,Alive,Female,NA,ACOS 34,KOD 22,Atha'an Miere,NA,Windfinder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harine din Togara Two Winds,Atha'an Miere,Alive,Female,NA,ACOS 34,TGS 5,Atha'an Miere,NA,Wavemistress,NA,LOC 27,NA,NA,NA,NA,"Dark, with white streaks",NA,NA,NA,NA,NA,NA,NA,NA,NA
Niko Tokama,NA,Alive,Female,NA,WH Prologue,NA,NA,NA,NA,NA,NA,WH Prologue,NA,NA,NA,NA,NA,Inventor,NA,NA,NA,NA,NA,NA,NA
Eldaya Tolen,Unknown nationality,Dead,Female,NA,TWORJTWOT,TWORJTWOT,NA,Amyrlin Seat,Aes Sedai,549 NE,NA,NA,NA,NA,Blue Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ailene Tolvina,Kandori,Alive,Female,Lean,NS 23,NS 23,NA,NA,NA,NA,NA,NS 24,NA,NA,NA,NA,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Mara Tomanes,Tairen,Unknown,Female,NA,NA,NA,NA,NA,NA,NA,TSR 47,TFOH 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sareitha Tomares,Tairen,Dead,Female,NA,ACOS 16,KOD 31,Rebel Aes Sedai,NA,Aes Sedai,1000 NE,NA,TOM 17,965 NE,Brown,Brown Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malin din Toral Breaking Wave,Atha'an Miere,Alive,Female,NA,ACOS 13,ACOS 13,Atha'an Miere,Sailmistress,Wavemistress,NA,NA,NA,NA,NA,NA,Gray streaked,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salita Toranes,Tairen,Alive,Female,Plump,LOC 30,KOD 23,White Tower,NA,Aes Sedai,NA,NA,NA,NA,Cool,Yellow Ajah,Dark,NA,Sitter,NA,NA,NA,NA,NA,NA,NA
Jancy Torfinn,Andoran,Alive,Female,NA,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,TPOD 30,985 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doreille Torghin,Aridholin,Dead,Female,NA,NA,NA,NA,Queen of Aridhol,Queen,NA,TGS 27,TGS 27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elayne Traemane,Andoran,Dead,Female,NA,NA,NA,NA,Lady,High Seat,NA,TFOH 19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ellorien Traemane,Andoran,Alive,Female,Plump,LOC 16,TOM 23,NA,Lady,High Seat,NA,TFOH 19,TOM 52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seonid Traighan,Cairhienin,Alive,Female,NA,LOC 43,TOM 26,Perrin Aybara,NA,Aes Sedai,NA,LOC 41,NA,928 NE,NA,Green Ajah,Dark,Short,NA,NA,NA,NA,NA,NA,NA,NA
Elayne Trakand,Andoran,Alive,Female,NA,TEOTW 39,AMOL Epilogue,NA,"Queen of Andor and Cairhien, Defender of the Realm, Protector of the People, High Seat of House Trakand",Aes Sedai,NA,TEOTW 34,NA,981 NE,Blue,Green Ajah,Reddish Golden Blonde,"5'7"" or 170cm",NA,NA,NA,NA,NA,NA,NA,NA
Maighdin Trakand,Andoran,Dead,Female,NA,NA,NA,Andor,Lady,High Seat,972 NE,TFOH 19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morgase Trakand,Andoran,Alive,Female,NA,TEOTW 40,AMOL 37,House Trakand,Lady,NA,NA,NS 5,NA,957 NE,Blue,NA,Red-gold curls,"5'6"" or 168cm",NA,NA,NA,NA,NA,NA,NA,NA
Nicola Treehill,Ghealdanin,Dead,Female,Slender,TFOH 49,TOM 38,White Tower,NA,Accepted,1000 NE,NA,NA,974 NE,"Black, big",NA,Dark,Average,NA,NA,NA,NA,NA,NA,NA,NA
Chowin Tsao,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuandha,Aiel,Alive,Female,NA,COT 8,COT 8,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tall,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Turane,Atha'an Miere,Alive,Female,Stocky,KOD 22,KOD 22,Atha'an Miere,NA,Sailmistress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turese,Unknown nationality,Alive,Female,NA,TGS 39,TGS 39,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turolin,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roofmistress,Shaarad,Haido,NA,NA,NA,NA,NA
Tuva,Domani,Dead,Female,NA,NA,NA,NA,Lady,NA,1000 NE,TPOD 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mistress Tuval,Kandori,Unknown,Female,NA,NA,NA,Kandor,NA,NA,NA,NS 22,NS 22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zeranda Tyrim,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,817 NE,TWORJTWOT,TWORJTWOT,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unnamed characters in New Spring,"c(""Tairen"", ""Murandian"", ""Unknown nationality"", ""Arafellin"", ""Malkieri"", ""Kandori"")",NA,"c(""Male"", ""Female"", ""male"")","c(""Lean"", ""Husky"", ""Fat"", ""Stocky"", ""Skinny"")","c(""NS 1"", ""NS 5"", ""NS 12"", ""NS 13"", ""NS 15"", ""NS 21"", ""NS 23"", ""NS 26"", ""NS Epilogue"")",NA,Grand Alliance,Officer,Under-Lieutenant,NA,NA,NA,NA,NA,NA,NA,Tall,"c(""Soldier"", ""Maid"", ""Sedan Chair bearer"", ""Innkeeper"", ""Servant"", ""Merchant"")",NA,NA,NA,NA,NA,"c(""Gray"", ""Balding"")","c(""Pale"", ""Squinting"")"
Vadere,Altaran,Alive,Female,NA,COT 26,COT 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Mikio Vadere,Kandori,Alive,Female,Plump,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Companion,NA,907 NE,Dark Brown,Green Ajah,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanora Carridin,Amadician,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TSR 38,ACOS 15,NA,NA,NA,NA,NA,Unknown occupation,NA,NA,NA,NA,NA,NA,NA
Vasha,Domani,Alive,Female,NA,TGS 13,TGS 13,White Tower,NA,Aes Sedai,NA,NA,NA,NA,Green,Green Ajah,"Long, black",NA,NA,NA,NA,NA,NA,NA,NA,NA
Akoure Vayet,Amadician,Alive,Female,Stout,WH Prologue,WH Prologue,White Tower,NA,Aes Sedai,NA,NA,KOD Prologue,NA,Brown,Gray Ajah,Dark,"5'4"" or 163 cm",NA,NA,NA,NA,NA,NA,NA,NA
Sierin Vayu,Unknown nationality,Dead,Female,Plump,NS 14,NS 14,NA,Amyrlin Seat,Aes Sedai,984 NE,NA,WH 10,736 NE,Hard,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verine,Unknown nationality,Dead,Female,NA,TFOH 19,TFOH 19,White Tower,NA,Accepted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ronaille Vevanios,Illianer,Alive,Female,NA,LOC 55,LOC 55,The Dragon Reborn,NA,Aes Sedai,NA,NA,KOD Prologue,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viendre,Aiel,Alive,Female,NA,WH Prologue,WH Prologue,NA,NA,NA,NA,NA,NA,NA,Blue,NA,NA,NA,Wise One,Goshien,Unknown sept,NA,NA,NA,NA,NA
Voniel,NA,Alive,Female,NA,NA,NA,NA,NA,NA,NA,LOC 20,LOC 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA
Sarainya Vostovan,Arafellin,Alive,Female,NA,ACOS 24,TPOD 28,The Kin,NA,Accepted,NA,NA,NA,924 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaiva Walfor,Andoran,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Companion,NA,806 NE,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wallein din Onill,Atha'an Miere,Alive,Female,NA,KOD 22,KOD 22,Atha'an Miere,NA,First Twelve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manda Wan,Unknown nationality,Alive,Female,NA,AMOL 37,AMOL 37,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elin Warrel,Andoran,Alive,Female,Slender,NS 2,COT Prologue,White Tower,NA,Aes Sedai,NA,NA,NA,953 NE,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wellin,Unknown nationality,Alive,Female,Stout,NS 6,NS 6,White Tower,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Clerk,NA,NA,NA,NA,NA,NA,NA
Wyndera Ovan,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Companion,NA,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Susa Wynn,Murandian,Alive,Female,NA,NS 5,NS 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xanthe,Midlander,NA,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yabeth,Kandori,Alive,Female,NA,TOM Prologue,TOM Prologue,Kandor,NA,Lady,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yanet,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TOM Prologue,TOM Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yeteri,Unknown nationality,Alive,Female,Petite,TGS 40,TGS 40,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,Blond,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yuan,Arafellin,Alive,Female,Slim,NS 9,NS 10,White Tower,NA,Aes Sedai,NA,NA,NA,NA,Gray,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zakai,Seanchan,Alive,Female,NA,TPOD 24,TPOD 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA
Varilin Zanaire,Saldaean,Alive,Female,Slender,LOC 30,TOM 27,White Tower,NA,Aes Sedai,NA,LOC 13,NA,831 NE,NA,Gray Ajah,Red,"6'2"" or 188 cm",Sitter,NA,NA,NA,NA,NA,NA,NA
Zanica,Unknown nationality,Alive,Female,NA,NA,NA,Black Ajah,NA,Aes Sedai,NA,KOD Prologue,TGS Epilogue,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devore Zarbayan,Saldaean,Alive,Female,Slim,KOD 15,KOD 16,NA,NA,Bannerwoman,NA,NA,NA,NA,Cool,NA,NA,NA,Queen's Guard,NA,NA,NA,NA,NA,NA,NA
Seta Zarbey,Seanchan,Alive,Female,NA,TGH 45,TOM 17,NA,NA,Novice,NA,NA,NA,NA,Blue,NA,Yellow,Short,Sul'dam,NA,NA,NA,NA,NA,NA,NA
Zavion,Saldaean,Alive,Female,Sinewy,COT Prologue,COT Prologue,NA,Lady,NA,NA,NA,NA,NA,NA,NA,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bethamin Zeami,Seanchan,Alive,Female,NA,TSR 38,TOM 17,White Tower,NA,Novice,NA,NA,NA,NA,Dark,NA,NA,Tall,Sul'dam,NA,NA,NA,NA,NA,NA,NA
Sharmad Zeffar,Domani,Alive,Female,Plump,LOC Prologue,LOC Prologue,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comarra Zepava,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,276 NE,TWORJTWOT,TWORJTWOT,NA,NA,Blue Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zera,Unknown nationality,NA,Female,NA,TGH 25,NA,NA,NA,NA,NA,NA,TGH 34,NA,NA,NA,White,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Asne Zeramene,Saldaean,Dead,Female,NA,TSR 38,KOD 33,Black Ajah,NA,Aes Sedai,1000 NE,NA,NA,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asra Zigane,Domani,Alive,Female,NA,LOC 52,TPOD 28,The Kin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wise Woman,NA,NA,NA,NA,NA,NA,NA
Zorelle,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai (Age of Legends),NA,TSR 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almindhra,Tova,Dead,Unknown gender,NA,NA,NA,NA,First Counselor of Tova,First Counselor,NA,TWORJTWOT,TWORJTWOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lian (Hunter of the Horn),Unknown nationality,Deceased,Unknown gender,NA,NA,NA,NA,NA,NA,NA,TEOTW 17,NA,NA,NA,NA,NA,NA,Hunter of the Horn,NA,NA,NA,NA,NA,NA,NA
Santhra,Unknown nationality,Dead,Unknown gender,NA,NA,NA,NA,NA,NA,NA,TGH 22,TGH 22,NA,NA,NA,NA,NA,Author,NA,NA,NA,NA,NA,NA,NA
Rhys a'Balaman,Murandian,Dead,Male,NA,KOD 13,KOD 13,House Marne,NA,NA,1000 NE,NA,KOD 35,NA,Stones,NA,NA,NA,Mercenary,NA,NA,NA,NA,NA,NA,NA
Sedrin a'Conlin,Murandian,Alive,Male,NA,NS 5,NS 5,NA,NA,NA,NA,NA,NA,978 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paitr do Fearna a'Conn,Murandian,Alive,Male,NA,TPOD 17,TPOD 17,NA,Lord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donel do Morny a'Lordeine,Murandian,Alive,Male,NA,TPOD 17,TPOD 18,Murandy,Lord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roedran Almaric do Arreloa a'Naloy,Murandian,Alive,Male,Corpulent,AMOL 5,AMOL 6,Murandy,King of Murandy,King,NA,TFOH 11,NA,NA,NA,NA,"White, thinning",NA,NA,NA,NA,NA,NA,NA,NA,NA
Abar,Domani,NA,Male,Lean,KOD 8,NA,Valan Luca,NA,NA,NA,NA,KOD 11,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Logain Ablar,Ghealdanin,Alive,Male,NA,TEOTW 39,AMOL 48,Dragon Reborn,Sealbreaker,Asha'man,NA,TEOTW 3,NA,971 NE or 972 NE,NA,NA,"Dark, curling, shoulder length","6'2""",Asha'man,NA,NA,NA,NA,NA,NA,NA
Abors,Unknown nationality,Dead,Male,NA,AMOL 10,AMOL 14,The Shadow,NA,Asha'man,1000 NE,NA,NA,NA,NA,NA,NA,NA,Asha'man,NA,NA,NA,NA,NA,NA,NA
Jurad Accan,Andoran,Alive,Male,NA,NA,NA,House Trakand,NA,NA,NA,COT 11,COT 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adamad,Borderlander,Alive,Male,NA,TGS Prologue,TGS Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Farmer,NA,NA,NA,NA,NA,NA,NA
Adan,NA,Dead,Male,NA,TSR 25,TSR 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jenn Aiel,NA,NA,NA,NA,NA,NA
Heran Adan,Andoran,Alive,Male,NA,NA,NA,NA,NA,NA,NA,TEOTW 13,TEOTW 14,NA,NA,NA,NA,NA,Governor,NA,NA,NA,NA,NA,NA,NA
Bili Adarra,Andoran,Alive,Male,NA,KOD 26,KOD 26,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Jaim Adarra,Unknown nationality,Alive,Male,NA,TDR 35,TDR 41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ship captain,NA,NA,NA,NA,NA,NA,NA
Adden,Unknown nationality,Dead,Male,Large,TDR 39,TDR 39,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fair,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonan Adley,Altaran,Dead,Male,NA,LOC 11,TPOD 24,The Dragon Reborn,NA,Soldier (Asha'man),1000 NE,NA,TPOD 27,NA,NA,NA,NA,NA,Asha'man,NA,NA,NA,NA,NA,NA,NA
Admar,Unknown nationality,Alive,Male,NA,KOD 37,KOD 37,Band of the Red Hand,NA,Officer,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Admira,Tairen,Alive,Male,Stocky,WH 32,WH 32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA
Adrin,Saldaean,Dead,Male,NA,TGS 11,TGS 11,Davram Bashere,NA,NA,1000 NE,NA,NA,NA,NA,NA,Fair,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Adsalan,Unknown nationality,Dead,Male,NA,TGS 12,TGS 12,White Tower,Gaidin,NA,NA,NA,NA,NA,NA,NA,Ruddy,NA,Warder,NA,NA,NA,NA,NA,NA,NA
Aedomon,Saferin,Dead,Male,NA,NA,NA,NA,King of Safer,King,NA,TSR 37,TSR 37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeman Senhold,Amadician,NA,Male,NA,NA,NA,NA,Lord,General,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aemin,Cairhien,Alive,Male,Broad and stocky,TPOD 9,TOM 40,Perrin Aybara,NA,NA,NA,NA,NA,NA,NA,NA,Graying,NA,Farrier,NA,NA,NA,NA,NA,NA,NA
Aemon al Caar al Thorin,Manetherenite,Dead,Male,NA,NA,NA,NA,King of Manetheren,Nobility,c. 1200 AB,TEOTW 9,TFOH 51,c. 1155 AB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teven Aerwin,Unknown nationality,Dead,Male,NA,NA,NA,NA,NA,NA,NA,TGH 5,TGH 5,NA,NA,NA,NA,NA,Author,NA,NA,NA,NA,NA,NA,NA
Lorstrum Aesnan,Cairhienin,Alive,Male,"Thin, lanky",TOM 50,TOM 52,Cairhien,Lord,NA,NA,NA,NA,NA,NA,NA,NA,Tall,NA,NA,NA,NA,NA,NA,NA,NA
