variable,value,name
Affiliation,Black Ajah,Asne Zeramene
Rank,Aes Sedai,Asne Zeramene
Ajah,Green Ajah,Asne Zeramene
Nationality,Domani,Asra Zigane
Current status,Alive,Asra Zigane
Gender,Female,Asra Zigane
First appeared,LOC 52,Asra Zigane
Last appeared,TPOD 28,Asra Zigane
Affiliation,The Kin,Asra Zigane
Occupation,Wise Woman,Asra Zigane
Nationality,Unknown nationality,Zorelle
Current status,Dead,Zorelle
Gender,Female,Zorelle
First mentioned,TSR 26,Zorelle
Rank,Aes Sedai (Age of Legends),Zorelle
Nationality,Tova,Almindhra
Current status,Dead,Almindhra
Gender,Unknown gender,Almindhra
First mentioned,TWORJTWOT,Almindhra
Last mentioned,TWORJTWOT,Almindhra
Title,First Counselor of Tova,Almindhra
Rank,First Counselor,Almindhra
Nationality,Unknown nationality,Lian (Hunter of the Horn)
Current status,Deceased,Lian (Hunter of the Horn)
Gender,Unknown gender,Lian (Hunter of the Horn)
First mentioned,TEOTW 17,Lian (Hunter of the Horn)
Occupation,Hunter of the Horn,Lian (Hunter of the Horn)
Nationality,Unknown nationality,Santhra
Current status,Dead,Santhra
Gender,Unknown gender,Santhra
First mentioned,TGH 22,Santhra
Last mentioned,TGH 22,Santhra
Occupation,Author,Santhra
Nationality,Murandian,Rhys a'Balaman
Date of death,1000 NE,Rhys a'Balaman
Current status,Dead,Rhys a'Balaman
Gender,Male,Rhys a'Balaman
Eyes,Stones,Rhys a'Balaman
First appeared,KOD 13,Rhys a'Balaman
Last appeared,KOD 13,Rhys a'Balaman
Last mentioned,KOD 35,Rhys a'Balaman
Affiliation,House Marne,Rhys a'Balaman
Occupation,Mercenary,Rhys a'Balaman
Nationality,Murandian,Sedrin a'Conlin
Date of birth,978 NE,Sedrin a'Conlin
Current status,Alive,Sedrin a'Conlin
Gender,Male,Sedrin a'Conlin
First appeared,NS 5,Sedrin a'Conlin
Last appeared,NS 5,Sedrin a'Conlin
Nationality,Murandian,Paitr do Fearna a'Conn
Current status,Alive,Paitr do Fearna a'Conn
Gender,Male,Paitr do Fearna a'Conn
First appeared,TPOD 17,Paitr do Fearna a'Conn
Last appeared,TPOD 17,Paitr do Fearna a'Conn
Title,Lord,Paitr do Fearna a'Conn
Nationality,Murandian,Donel do Morny a'Lordeine
Current status,Alive,Donel do Morny a'Lordeine
Gender,Male,Donel do Morny a'Lordeine
First appeared,TPOD 17,Donel do Morny a'Lordeine
Last appeared,TPOD 18,Donel do Morny a'Lordeine
Affiliation,Murandy,Donel do Morny a'Lordeine
Title,Lord,Donel do Morny a'Lordeine
Nationality,Murandian,Roedran Almaric do Arreloa a'Naloy
Current status,Alive,Roedran Almaric do Arreloa a'Naloy
Gender,Male,Roedran Almaric do Arreloa a'Naloy
Build,Corpulent,Roedran Almaric do Arreloa a'Naloy
Hair,"White, thinning",Roedran Almaric do Arreloa a'Naloy
First mentioned,TFOH 11,Roedran Almaric do Arreloa a'Naloy
First appeared,AMOL 5,Roedran Almaric do Arreloa a'Naloy
Last appeared,AMOL 6,Roedran Almaric do Arreloa a'Naloy
Affiliation,Murandy,Roedran Almaric do Arreloa a'Naloy
Title,King of Murandy,Roedran Almaric do Arreloa a'Naloy
Rank,King,Roedran Almaric do Arreloa a'Naloy
Nationality,Domani,Abar
Gender,Male,Abar
Build,Lean,Abar
First appeared,KOD 8,Abar
Last mentioned,KOD 11,Abar
Affiliation,Valan Luca,Abar
Occupation,Entertainer,Abar
Nationality,Ghealdanin,Logain Ablar
Date of birth,971 NE or 972 NE,Logain Ablar
Current status,Alive,Logain Ablar
Gender,Male,Logain Ablar
Height,"6'2""",Logain Ablar
Hair,"Dark, curling, shoulder length",Logain Ablar
First mentioned,TEOTW 3,Logain Ablar
First appeared,TEOTW 39,Logain Ablar
Last appeared,AMOL 48,Logain Ablar
Affiliation,Dragon Reborn,Logain Ablar
Occupation,Asha'man,Logain Ablar
Title,Sealbreaker,Logain Ablar
Rank,Asha'man,Logain Ablar
Nationality,Unknown nationality,Abors
Date of death,1000 NE,Abors
Current status,Dead,Abors
Gender,Male,Abors
First appeared,AMOL 10,Abors
Last appeared,AMOL 14,Abors
Affiliation,The Shadow,Abors
Occupation,Asha'man,Abors
Rank,Asha'man,Abors
Nationality,Andoran,Jurad Accan
Current status,Alive,Jurad Accan
Gender,Male,Jurad Accan
First mentioned,COT 11,Jurad Accan
Last mentioned,COT 11,Jurad Accan
Affiliation,House Trakand,Jurad Accan
Nationality,Borderlander,Adamad
Current status,Alive,Adamad
Gender,Male,Adamad
First appeared,TGS Prologue,Adamad
Last appeared,TGS Prologue,Adamad
Occupation,Farmer,Adamad
Current status,Dead,Adan
Gender,Male,Adan
First appeared,TSR 25,Adan
Last appeared,TSR 26,Adan
Clan,Jenn Aiel,Adan
Nationality,Andoran,Heran Adan
Current status,Alive,Heran Adan
Gender,Male,Heran Adan
First mentioned,TEOTW 13,Heran Adan
Last mentioned,TEOTW 14,Heran Adan
Occupation,Governor,Heran Adan
Nationality,Andoran,Bili Adarra
Current status,Alive,Bili Adarra
Gender,Male,Bili Adarra
First appeared,KOD 26,Bili Adarra
Last appeared,KOD 26,Bili Adarra
Affiliation,Two Rivers,Bili Adarra
Occupation,Soldier,Bili Adarra
Nationality,Unknown nationality,Jaim Adarra
Current status,Alive,Jaim Adarra
Gender,Male,Jaim Adarra
First appeared,TDR 35,Jaim Adarra
Last appeared,TDR 41,Jaim Adarra
Occupation,Ship captain,Jaim Adarra
Nationality,Unknown nationality,Adden
Current status,Dead,Adden
Gender,Male,Adden
Build,Large,Adden
Hair,Fair,Adden
First appeared,TDR 39,Adden
Last appeared,TDR 39,Adden
Nationality,Altaran,Jonan Adley
Date of death,1000 NE,Jonan Adley
Current status,Dead,Jonan Adley
Gender,Male,Jonan Adley
First appeared,LOC 11,Jonan Adley
Last appeared,TPOD 24,Jonan Adley
Last mentioned,TPOD 27,Jonan Adley
Affiliation,The Dragon Reborn,Jonan Adley
Occupation,Asha'man,Jonan Adley
Rank,Soldier (Asha'man),Jonan Adley
Nationality,Unknown nationality,Admar
Current status,Alive,Admar
Gender,Male,Admar
First appeared,KOD 37,Admar
Last appeared,KOD 37,Admar
Affiliation,Band of the Red Hand,Admar
Occupation,Soldier,Admar
Rank,Officer,Admar
Nationality,Tairen,Admira
Current status,Alive,Admira
Gender,Male,Admira
Build,Stocky,Admira
First appeared,WH 32,Admira
Last appeared,WH 32,Admira
Occupation,Merchant,Admira
Nationality,Saldaean,Adrin
Date of death,1000 NE,Adrin
Current status,Dead,Adrin
Gender,Male,Adrin
Hair,Fair,Adrin
First appeared,TGS 11,Adrin
Last appeared,TGS 11,Adrin
Affiliation,Davram Bashere,Adrin
Occupation,Soldier,Adrin
Nationality,Unknown nationality,Adsalan
Current status,Dead,Adsalan
Gender,Male,Adsalan
Hair,Ruddy,Adsalan
First appeared,TGS 12,Adsalan
Last appeared,TGS 12,Adsalan
Affiliation,White Tower,Adsalan
Occupation,Warder,Adsalan
Title,Gaidin,Adsalan
Nationality,Saferin,Aedomon
Current status,Dead,Aedomon
Gender,Male,Aedomon
First mentioned,TSR 37,Aedomon
Last mentioned,TSR 37,Aedomon
Title,King of Safer,Aedomon
Rank,King,Aedomon
Nationality,Amadician,Aeman Senhold
Gender,Male,Aeman Senhold
Title,Lord,Aeman Senhold
Rank,General,Aeman Senhold
Nationality,Cairhien,Aemin
Current status,Alive,Aemin
Gender,Male,Aemin
Build,Broad and stocky,Aemin
Hair,Graying,Aemin
First appeared,TPOD 9,Aemin
Last appeared,TOM 40,Aemin
Affiliation,Perrin Aybara,Aemin
Occupation,Farrier,Aemin
Nationality,Manetherenite,Aemon al Caar al Thorin
Date of birth,c. 1155 AB,Aemon al Caar al Thorin
Date of death,c. 1200 AB,Aemon al Caar al Thorin
Current status,Dead,Aemon al Caar al Thorin
Gender,Male,Aemon al Caar al Thorin
First mentioned,TEOTW 9,Aemon al Caar al Thorin
Last mentioned,TFOH 51,Aemon al Caar al Thorin
Title,King of Manetheren,Aemon al Caar al Thorin
Rank,Nobility,Aemon al Caar al Thorin
Nationality,Unknown nationality,Teven Aerwin
Current status,Dead,Teven Aerwin
Gender,Male,Teven Aerwin
First mentioned,TGH 5,Teven Aerwin
Last mentioned,TGH 5,Teven Aerwin
Occupation,Author,Teven Aerwin
Nationality,Cairhienin,Lorstrum Aesnan
Current status,Alive,Lorstrum Aesnan
Gender,Male,Lorstrum Aesnan
Height,Tall,Lorstrum Aesnan
Build,"Thin, lanky",Lorstrum Aesnan
First appeared,TOM 50,Lorstrum Aesnan
Last appeared,TOM 52,Lorstrum Aesnan
Affiliation,Cairhien,Lorstrum Aesnan
Title,Lord,Lorstrum Aesnan
Nationality,Saldaean,Aghan
Current status,Alive,Aghan
Gender,Male,Aghan
First appeared,KOD 27,Aghan
Last appeared,KOD 27,Aghan
Affiliation,Davram Bashere,Aghan
Occupation,Soldier,Aghan
Date of birth,Age of Legends,Aginor
Date of death,998 NE,Aginor
Current status,Dead,Aginor
Gender,Male,Aginor
Height,Tall,Aginor
First mentioned,TEOTW 1,Aginor
First appeared,TEOTW 50,Aginor
Last appeared,TEOTW 52,Aginor
Last mentioned,AMOL 18,Aginor
Rank,Chosen,Aginor
Nationality,Tairen,Haviar Agora
Current status,Alive,Haviar Agora
Gender,Male,Haviar Agora
First mentioned,COT 5,Haviar Agora
Last mentioned,KOD 29,Haviar Agora
Affiliation,Cha Faile,Haviar Agora
Nationality,Andoran,Kenley Ahan
Date of birth,979 NE,Kenley Ahan
Date of death,999 NE,Kenley Ahan
Current status,Dead,Kenley Ahan
Gender,Male,Kenley Ahan
First appeared,TEOTW Ravens,Kenley Ahan
Last appeared,TSR 40,Kenley Ahan
Last mentioned,TSR 43,Kenley Ahan
Affiliation,Two Rivers,Kenley Ahan
Nationality,Amadician,Ailron Rovere Lukan
Date of death,1000 NE,Ailron Rovere Lukan
Current status,Dead,Ailron Rovere Lukan
Gender,Male,Ailron Rovere Lukan
Build,Delicate,Ailron Rovere Lukan
Hair,"Dark, wavy, receding",Ailron Rovere Lukan
First mentioned,TFOH 16,Ailron Rovere Lukan
First appeared,LOC Prologue,Ailron Rovere Lukan
Last appeared,LOC Prologue,Ailron Rovere Lukan
Last mentioned,KOD 12,Ailron Rovere Lukan
Title,"King and Defender of Amadicia, Guardian of the Southern Gate",Ailron Rovere Lukan
Rank,King,Ailron Rovere Lukan
Nationality,Tairen,Dermid Ajala
Current status,Alive,Dermid Ajala
Gender,Male,Dermid Ajala
Hair,Dark,Dermid Ajala
Eyes,Pale blue,Dermid Ajala
First appeared,TDR 50,Dermid Ajala
Last appeared,TDR 53,Dermid Ajala
Occupation,Blacksmith,Dermid Ajala
Nationality,Seanchan,Ajimbura
Current status,Alive,Ajimbura
Gender,Male,Ajimbura
Eyes,Blue,Ajimbura
First appeared,COT 4,Ajimbura
Last appeared,KOD 36,Ajimbura
Occupation,Servant,Ajimbura
Rank,So'jhin,Ajimbura
Nationality,Unknown nationality,Chin Akima
Date of death,999 NE,Chin Akima
Current status,Dead,Chin Akima
Gender,Male,Chin Akima
First mentioned,TFOH 36,Chin Akima
Last mentioned,TFOH 47,Chin Akima
Affiliation,Chin Akima,Chin Akima
Occupation,Entertainer,Chin Akima
Nationality,Andoran,Kevrim al'Azar
Current status,Alive,Kevrim al'Azar
Gender,Male,Kevrim al'Azar
First appeared,TSR 56,Kevrim al'Azar
Last appeared,TSR 56,Kevrim al'Azar
Affiliation,Two Rivers,Kevrim al'Azar
Nationality,Andoran,Adan al'Caar
Current status,Alive,Adan al'Caar
Gender,Male,Adan al'Caar
First mentioned,TEOTW 2,Adan al'Caar
Last mentioned,TEOTW 2,Adan al'Caar
Affiliation,Two Rivers,Adan al'Caar
Nationality,Andoran,Jac al'Caar
Current status,Alive,Jac al'Caar
Gender,Male,Jac al'Caar
First appeared,TEOTW Ravens,Jac al'Caar
Last appeared,TEOTW Ravens,Jac al'Caar
Affiliation,Two Rivers,Jac al'Caar
Nationality,Andoran,Paet al'Caar
Current status,Alive,Paet al'Caar
Gender,Male,Paet al'Caar
First appeared,TEOTW Ravens,Paet al'Caar
Last appeared,TSR 56,Paet al'Caar
Affiliation,Two Rivers,Paet al'Caar
Nationality,Andoran,Tod al'Caar
Current status,Alive,Tod al'Caar
Gender,Male,Tod al'Caar
Build,Lanky,Tod al'Caar
First appeared,ACOS 1,Tod al'Caar
Last appeared,TGS 17,Tod al'Caar
Last mentioned,TOM Prologue,Tod al'Caar
Affiliation,Perrin Aybara,Tod al'Caar
Occupation,Soldier,Tod al'Caar
Nationality,Andoran,Wil al'Caar
Current status,Alive,Wil al'Caar
Gender,Male,Wil al'Caar
First mentioned,TEOTW 9,Wil al'Caar
Affiliation,Two Rivers,Wil al'Caar
Nationality,Andoran,Bili al'Dai
Date of death,999 NE,Bili al'Dai
Current status,Dead,Bili al'Dai
Gender,Male,Bili al'Dai
First appeared,TSR 33,Bili al'Dai
Last appeared,TSR 40,Bili al'Dai
Last mentioned,TSR 43,Bili al'Dai
Affiliation,Two Rivers,Bili al'Dai
Nationality,Andoran,Hu al'Dai
Current status,Alive,Hu al'Dai
Gender,Male,Hu al'Dai
First appeared,TSR 43,Hu al'Dai
Last appeared,TSR 43,Hu al'Dai
Affiliation,Two Rivers,Hu al'Dai
Nationality,Andoran,Lem al'Dai
Current status,Alive,Lem al'Dai
Gender,Male,Lem al'Dai
First appeared,WH 6,Lem al'Dai
Last appeared,WH 6,Lem al'Dai
Affiliation,Two Rivers,Lem al'Dai
Nationality,Andoran,Rad al'Dai
Current status,Alive,Rad al'Dai
Gender,Male,Rad al'Dai
First appeared,ACOS 3,Rad al'Dai
Last appeared,WH 6,Rad al'Dai
Affiliation,Two Rivers,Rad al'Dai
Occupation,Soldier,Rad al'Dai
Nationality,Andoran,Had al'Lora
Current status,Alive,Had al'Lora
Gender,Male,Had al'Lora
Build,Lean,Had al'Lora
First appeared,KOD 26,Had al'Lora
Last appeared,KOD 26,Had al'Lora
Affiliation,Two Rivers,Had al'Lora
Occupation,Soldier,Had al'Lora
Nationality,Andoran,Gren al'Mar
Gender,Male,Gren al'Mar
First mentioned,The Wheel of Time Roleplaying Game,Gren al'Mar
Affiliation,Two Rivers,Gren al'Mar
Occupation,Blacksmith,Gren al'Mar
Nationality,Andoran,Master al'Meara
Current status,Dead,Master al'Meara
Gender,Male,Master al'Meara
First mentioned,TSR 46,Master al'Meara
Occupation,Farmer,Master al'Meara
Nationality,Andoran,Montem al'San
Current status,Alive,Montem al'San
Gender,Male,Montem al'San
First appeared,TOM 10,Montem al'San
Last appeared,TOM 10,Montem al'San
Affiliation,Perrin Aybara,Montem al'San
Occupation,Soldier,Montem al'San
Nationality,Andoran,Ban al'Seen
Current status,Alive,Ban al'Seen
Gender,Male,Ban al'Seen
Hair,Dark,Ban al'Seen
First appeared,TSR 33,Ban al'Seen
Last appeared,AMOL 15,Ban al'Seen
Affiliation,Two Rivers,Ban al'Seen
Occupation,Soldier,Ban al'Seen
Nationality,Andoran,Jac al'Seen
Current status,Alive,Jac al'Seen
Gender,Male,Jac al'Seen
Build,Stocky,Jac al'Seen
Hair,"Balding, gray",Jac al'Seen
First appeared,TSR 32,Jac al'Seen
Last appeared,TSR 56,Jac al'Seen
Affiliation,Two Rivers,Jac al'Seen
Nationality,Andoran,Saml al'Seen
Current status,Alive,Saml al'Seen
Gender,Male,Saml al'Seen
Hair,Dark,Saml al'Seen
First appeared,KOD Epilogue,Saml al'Seen
Last appeared,KOD Epilogue,Saml al'Seen
Affiliation,Black Tower,Saml al'Seen
Occupation,Asha'man,Saml al'Seen
Rank,Soldier (Asha'man),Saml al'Seen
Nationality,Andoran,Wil al'Seen
Current status,Alive,Wil al'Seen
Gender,Male,Wil al'Seen
First mentioned,TEOTW 25,Wil al'Seen
First appeared,TSR 32,Wil al'Seen
Last appeared,TOM 40,Wil al'Seen
Affiliation,Perrin Aybara,Wil al'Seen
Occupation,Soldier,Wil al'Seen
Nationality,Andoran,Wit al'Seen
Current status,Alive,Wit al'Seen
Gender,Male,Wit al'Seen
Build,Stocky,Wit al'Seen
Hair,Bald,Wit al'Seen
First appeared,TSR 32,Wit al'Seen
Last appeared,TSR 56,Wit al'Seen
Affiliation,Two Rivers,Wit al'Seen
Nationality,Andoran,Dael al'Taron
Date of death,999 NE,Dael al'Taron
Current status,Dead,Dael al'Taron
Gender,Male,Dael al'Taron
First appeared,TSR 40,Dael al'Taron
Last appeared,TSR 40,Dael al'Taron
Last mentioned,TSR 43,Dael al'Taron
Affiliation,Two Rivers,Dael al'Taron
Nationality,Andoran,Azi al'Thone
Current status,Alive,Azi al'Thone
Gender,Male,Azi al'Thone
First mentioned,TOM Prologue,Azi al'Thone
First appeared,TOM 10,Azi al'Thone
Last appeared,TOM 53,Azi al'Thone
Affiliation,Perrin Aybara,Azi al'Thone
Occupation,Soldier,Azi al'Thone
Nationality,Andoran,Dav al'Thone
Current status,Alive,Dav al'Thone
Gender,Male,Dav al'Thone
First appeared,AMOL 15,Dav al'Thone
Last appeared,AMOL 15,Dav al'Thone
Affiliation,Two Rivers,Dav al'Thone
Nationality,Andoran,Rand al'Thor
Date of birth,2 Danu 978 NE,Rand al'Thor
Current status,Alive,Rand al'Thor
Gender,Male,Rand al'Thor
Height,"6' 6"", 198cm",Rand al'Thor
Build,Muscular,Rand al'Thor
Weight,"235 lbs, 16 st 11 lbs, 106.6 kg",Rand al'Thor
Hair,Dark red,Rand al'Thor
Eyes,Gray-blue,Rand al'Thor
First mentioned,NS 2,Rand al'Thor
First appeared,TEOTW Ravens,Rand al'Thor
Last appeared,AMOL Epilogue,Rand al'Thor
Title,"Dragon Reborn, Coramoor, Car'a'carn, He Who Comes With the Dawn, Shadowkiller, King of Illian, Lord of the Morning",Rand al'Thor
Rank,King,Rand al'Thor
Nationality,Andoran,Tam al'Thor
Date of birth,940 NE,Tam al'Thor
Current status,Alive,Tam al'Thor
Gender,Male,Tam al'Thor
Hair,Gray,Tam al'Thor
First appeared,TEOTW Ravens,Tam al'Thor
Last appeared,AMOL Epilogue,Tam al'Thor
Affiliation,Perrin Aybara,Tam al'Thor
Occupation,Soldier,Tam al'Thor
Title,Village Councilor,Tam al'Thor
Rank,First Captain,Tam al'Thor
Nationality,Andoran,Alwyn al'Van
Current status,Alive,Alwyn al'Van
Gender,Male,Alwyn al'Van
First mentioned,TGH 2,Alwyn al'Van
Last mentioned,TGH 2,Alwyn al'Van
Affiliation,Two Rivers,Alwyn al'Van
Occupation,bootmaker,Alwyn al'Van
Nationality,Andoran,Bran al'Vere
Date of birth,937 NE,Bran al'Vere
Current status,Alive,Bran al'Vere
Gender,Male,Bran al'Vere
Hair,Gray,Bran al'Vere
Eyes,Brown,Bran al'Vere
First appeared,TEOTW Ravens,Bran al'Vere
Last appeared,TSR 56,Bran al'Vere
Last mentioned,AMOL 13,Bran al'Vere
Affiliation,Two Rivers,Bran al'Vere
Occupation,Innkeeper,Bran al'Vere
Title,Mayor,Bran al'Vere
Nationality,Seanchan,Turak Aladon
Date of death,998 NE,Turak Aladon
Current status,Dead,Turak Aladon
Gender,Male,Turak Aladon
Height,Tall,Turak Aladon
Hair,Shaved,Turak Aladon
Eyes,Dark,Turak Aladon
First appeared,TGH 29,Turak Aladon
Last appeared,TGH 45,Turak Aladon
Last mentioned,TGS 35,Turak Aladon
Rank,High Lord,Turak Aladon
Nationality,Aiel,Alalved
Current status,Foreseen,Alalved
Gender,Male,Alalved
Height,Tall,Alalved
First mentioned,TOM 49,Alalved
Occupation,Clan chief,Alalved
Clan,Tomanelle,Alalved
Sept,Unknown sept,Alalved
Nationality,Aiel,Alarch
Current status,Foreseen,Alarch
Gender,Male,Alarch
Hair,Dark,Alarch
First appeared,TOM 49,Alarch
Last appeared,TOM 49,Alarch
Title,Child of the Dragon,Alarch
Nationality,Unknown nationality,Aldan
Current status,Alive,Aldan
Gender,Male,Aldan
First mentioned,TGS 24,Aldan
Last mentioned,TGS 24,Aldan
Affiliation,Gareth Bryne,Aldan
Occupation,Soldier,Aldan
Rank,Captain,Aldan
Nationality,Tairen,Nalesean Aldiaya
Date of death,1000 NE,Nalesean Aldiaya
Current status,Dead,Nalesean Aldiaya
Gender,Male,Nalesean Aldiaya
Build,Blocky,Nalesean Aldiaya
First mentioned,TFOH 44,Nalesean Aldiaya
Last appeared,ACOS 38,Nalesean Aldiaya
Last mentioned,AMOL 15,Nalesean Aldiaya
Affiliation,Band of the Red Hand,Nalesean Aldiaya
Occupation,Soldier,Nalesean Aldiaya
Title,Lord,Nalesean Aldiaya
Rank,Banner-General,Nalesean Aldiaya
Nationality,Amadician,Aldin
Current status,Alive,Aldin
Gender,Male,Aldin
Height,Tall,Aldin
Build,Square-shouldered,Aldin
First appeared,KOD 30,Aldin
Last appeared,TOM 34,Aldin
Affiliation,Perrin Aybara,Aldin
Occupation,Gai'shain,Aldin
Nationality,Malkier,Weilin Aldragoran
Current status,Alive,Weilin Aldragoran
Gender,Male,Weilin Aldragoran
First appeared,KOD 20,Weilin Aldragoran
Last appeared,TOM 23,Weilin Aldragoran
Affiliation,Lan Mandragoran,Weilin Aldragoran
Occupation,Merchant,Weilin Aldragoran
Nationality,Cairhienin,Alhandrin Torelvin
Current status,Alive,Alhandrin Torelvin
Gender,Male,Alhandrin Torelvin
First mentioned,LOC 5,Alhandrin Torelvin
Last mentioned,LOC 5,Alhandrin Torelvin
Affiliation,Band of the Red Hand,Alhandrin Torelvin
Occupation,Soldier,Alhandrin Torelvin
Rank,Officer,Alhandrin Torelvin
Nationality,Unknown nationality,Alhanra
Current status,Alive,Alhanra
Gender,Male,Alhanra
First mentioned,AMOL 37,Alhanra
Last mentioned,AMOL 37,Alhanra
Affiliation,Children of the Light,Alhanra
Occupation,Soldier,Alhanra
Nationality,Tairen,Furen Alharra
Current status,Alive,Furen Alharra
Gender,Male,Furen Alharra
Height,Tall,Furen Alharra
Build,Lean,Furen Alharra
Hair,"Curly, black streaked with gray.",Furen Alharra
Eyes,Dark,Furen Alharra
First mentioned,LOC 43,Furen Alharra
First appeared,TPOD 7,Furen Alharra
Last appeared,KOD 30,Furen Alharra
Affiliation,The Dragon Reborn,Furen Alharra
Occupation,Warder,Furen Alharra
Title,Gaidin,Furen Alharra
Current status,Dead,Alijha
Gender,Male,Alijha
First appeared,TSR 25,Alijha
Last appeared,TSR 25,Alijha
Clan,Da'shain Aiel,Alijha
Nationality,Domani,Alin
Current status,Alive,Alin
Gender,Male,Alin
First mentioned,TOM 21,Alin
Last mentioned,TOM 21,Alin
Affiliation,Dragon Reborn,Alin
Occupation,Soldier,Alin
Nationality,Unknown nationality,Alix
Current status,Presumed Dead,Alix
Gender,Male,Alix
First mentioned,AMOL 37,Alix
Last mentioned,AMOL 37,Alix
Affiliation,White Tower,Alix
Occupation,Warder,Alix
Title,Gaidin,Alix
Nationality,Andoran,Allin
Current status,Alive,Allin
Gender,Male,Allin
First appeared,AMOL 37,Allin
Last appeared,AMOL 37,Allin
Occupation,Soldier,Allin
Nationality,Andoran,Rulan Allwine
Current status,Alive,Rulan Allwine
Gender,Male,Rulan Allwine
Build,Stout,Rulan Allwine
First appeared,TEOTW 33,Rulan Allwine
Last appeared,TEOTW 33,Rulan Allwine
Occupation,Innkeeper,Rulan Allwine
Nationality,Domani,Alsalam Saeed Almadar
Date of death,1000 NE,Alsalam Saeed Almadar
Current status,Dead,Alsalam Saeed Almadar
Gender,Male,Alsalam Saeed Almadar
Hair,"Gray, shoulder-length",Alsalam Saeed Almadar
First mentioned,LOC 6,Alsalam Saeed Almadar
First appeared,TOM 32,Alsalam Saeed Almadar
Last appeared,AMOL 24,Alsalam Saeed Almadar
Last mentioned,AMOL Epilogue,Alsalam Saeed Almadar
Title,"Lord of Almadar, High Seat of House Almadar",Alsalam Saeed Almadar
Rank,King,Alsalam Saeed Almadar
Nationality,Domani,Ramsid Almadar
Date of death,1000 NE,Ramsid Almadar
Current status,Dead,Ramsid Almadar
Gender,Male,Ramsid Almadar
First mentioned,LOC 6,Ramsid Almadar
First appeared,LOC 6,Ramsid Almadar
Last appeared,LOC 6,Ramsid Almadar
Last mentioned,LOC 6,Ramsid Almadar
Title,Lord,Ramsid Almadar
Rank,Prince,Ramsid Almadar
Nationality,Ghealdanin,Kirin Almeyda
Current status,Dead,Kirin Almeyda
Gender,Male,Kirin Almeyda
First mentioned,RPG,Kirin Almeyda
Last mentioned,RPG,Kirin Almeyda
Title,King of Ghealdan,Kirin Almeyda
Rank,King,Kirin Almeyda
Nationality,Unknown nationality,Alric
Date of death,999 NE,Alric
Current status,Dead,Alric
Gender,Male,Alric
Height,Tall,Alric
Build,Slender,Alric
Hair,Gray,Alric
First mentioned,TGH 2,Alric
First appeared,TSR 47,Alric
Last appeared,TSR 47,Alric
Last mentioned,TGS 8,Alric
Affiliation,White Tower,Alric
Occupation,Warder,Alric
Title,Gaidin,Alric
Nationality,Unknown nationality,Sorelana Alsahhan
Current status,Dead,Sorelana Alsahhan
Gender,Male,Sorelana Alsahhan
First mentioned,COT 7,Sorelana Alsahhan
Last mentioned,COT 7,Sorelana Alsahhan
Occupation,Author,Sorelana Alsahhan
Nationality,Amadician,Alvon
Current status,Alive,Alvon
Gender,Male,Alvon
Height,Short,Alvon
Build,Stocky,Alvon
First appeared,KOD 5,Alvon
Last appeared,KOD 28,Alvon
Affiliation,Faile Bashere,Alvon
Occupation,Gai'shain,Alvon
Nationality,Taraboner,Boral Amadia
Current status,Dead,Boral Amadia
Gender,Male,Boral Amadia
First mentioned,RPG,Boral Amadia
Last mentioned,RPG,Boral Amadia
Affiliation,Artur Hawkwing,Boral Amadia
Title,Lord,Boral Amadia
Rank,General,Boral Amadia
Nationality,Darmovanin,Guaire Amalasan
Date of death,FY 943,Guaire Amalasan
Current status,Dead,Guaire Amalasan
Gender,Male,Guaire Amalasan
First mentioned,TEOTW 14,Guaire Amalasan
Last mentioned,WH 24,Guaire Amalasan
Title,False Dragon,Guaire Amalasan
Nationality,Atha'an Miere,Amel din Monaga Stone Anchor
Current status,Alive,Amel din Monaga Stone Anchor
Gender,Male,Amel din Monaga Stone Anchor
First mentioned,KOD 22,Amel din Monaga Stone Anchor
Last mentioned,KOD 22,Amel din Monaga Stone Anchor
Affiliation,Atha'an Miere,Amel din Monaga Stone Anchor
Rank,Swordmaster,Amel din Monaga Stone Anchor
Nationality,Altaran,Jasfer Anan
Current status,Alive,Jasfer Anan
Gender,Male,Jasfer Anan
Hair,Gray,Jasfer Anan
First appeared,ACOS 17,Jasfer Anan
Last appeared,WH 29,Jasfer Anan
Last mentioned,KOD 9,Jasfer Anan
Occupation,Ship captain,Jasfer Anan
Nationality,Altaran,Ross Anan
Current status,Alive,Ross Anan
Gender,Male,Ross Anan
First appeared,WH 19,Ross Anan
Last appeared,WH 29,Ross Anan
Last mentioned,WH 29,Ross Anan
Occupation,Sailor,Ross Anan
Nationality,Malkieri,Andere
Current status,Alive,Andere
Gender,Male,Andere
Build,Lean,Andere
Hair,Long,Andere
First appeared,NS 15,Andere
Last appeared,AMOL 37,Andere
Affiliation,Lan Mandragoran,Andere
Nationality,Tairen,Estean Andiama
Current status,Alive,Estean Andiama
Gender,Male,Estean Andiama
Hair,Lanky,Estean Andiama
First appeared,TSR 2,Estean Andiama
Last appeared,KOD 26,Estean Andiama
Last mentioned,AMOL Prologue,Estean Andiama
Affiliation,Band of the Red Hand,Estean Andiama
Occupation,Soldier,Estean Andiama
Title,Lord,Estean Andiama
Rank,Banner-General,Estean Andiama
Nationality,Tairen,Torean Andiama
Current status,Alive,Torean Andiama
Gender,Male,Torean Andiama
First appeared,TSR 3,Torean Andiama
Last appeared,TGS 42,Torean Andiama
